,hour,day_of_week,roadtype,xccord,ycoord,jam_level
7762,12,2,3.0,-84.392002,33.73591,3
12900,16,2,3.0,-84.391204,33.78023,3
4246,1,7,3.0,-84.378888,33.7578,3
5267,21,3,7.0,-84.389198,33.78232,4
14223,10,2,3.0,-84.395652,33.72069,4
15280,18,5,3.0,-84.380238,33.76039,3
2938,19,6,7.0,-84.442458,33.74804,3
15182,20,5,7.0,-84.384915,33.77221,4
9433,22,6,3.0,-84.392339,33.79228,3
2300,11,2,3.0,-84.391457,33.78627,2
15286,12,5,3.0,-84.378702,33.7566,3
10734,16,3,3.0,-84.383026,33.7491,3
1958,20,2,3.0,-84.38988,33.800344,3
1640,17,7,3.0,-84.391738,33.78957,3
7420,23,2,3.0,-84.430769,33.74652,4
14863,17,5,3.0,-84.378927,33.75297,3
7551,19,2,7.0,-84.370728,33.75078,2
12550,23,4,1.0,-84.363115,33.75224,4
9303,23,6,3.0,-84.378809,33.75718,4
2858,20,6,7.0,-84.388831,33.77434,3
10266,21,4,2.0,-84.351123,33.79717,3
2581,21,6,6.0,-84.349235,33.75053,2
13490,15,3,3.0,-84.392912,33.79305,3
5753,23,5,3.0,-84.378313,33.75525,4
9686,13,2,3.0,-84.393692,33.72418,3
12796,12,2,3.0,-84.397728,33.71766,3
5648,22,6,6.0,-84.392145,33.79943,3
11072,11,3,3.0,-84.386892,33.8022,4
9432,23,6,3.0,-84.383384,33.80485,4
12569,21,4,7.0,-84.330352,33.78801,3
9298,15,6,3.0,-84.391382,33.7846,4
4663,15,7,3.0,-84.378233,33.75599,4
9633,17,2,4.0,-84.397496,33.74486,3
2893,22,6,6.0,-84.403128,33.76379,3
999,20,6,3.0,-84.385577,33.76523,3
6880,23,7,4.0,-84.391128,33.746,4
16161,16,6,3.0,-84.382173,33.76264,3
4733,17,7,3.0,-84.378242,33.75533,3
1323,18,6,3.0,-84.391429,33.78513,3
2214,0,2,3.0,-84.378432,33.75679,2
6108,12,4,7.0,-84.372039,33.761,3
15007,12,5,7.0,-84.368133,33.7447,4
6764,20,7,7.0,-84.335624,33.79642,3
5210,23,3,3.0,-84.389122,33.76729,3
9401,19,6,3.0,-84.39745,33.718191,3
14478,23,1,4.0,-84.378878,33.75487,3
8703,20,5,2.0,-84.406486,33.79614,3
15102,17,5,6.0,-84.347102,33.77424,3
3167,12,4,6.0,-84.349176,33.7583,2
14926,18,5,3.0,-84.391129,33.77796,4
4487,18,7,3.0,-84.393923,33.72393,4
1325,10,6,3.0,-84.39047,33.774434,3
2920,20,6,4.0,-84.390127,33.74507,3
10410,17,1,3.0,-84.391741,33.7928,3
6476,22,3,7.0,-84.37568,33.789913,4
8241,22,6,3.0,-84.412969,33.80495,4
4878,19,3,3.0,-84.389152,33.74551,4
2734,16,6,3.0,-84.331457,33.74304,3
16086,21,2,3.0,-84.391348,33.7882,4
3126,17,4,4.0,-84.385597,33.74778,3
14461,22,1,2.0,-84.41755,33.747341,3
4227,22,7,3.0,-84.385324,33.76506,3
15690,17,1,3.0,-84.387142,33.74704,3
5207,20,3,3.0,-84.378969,33.75801,3
15439,16,5,7.0,-84.451638,33.7501,4
5091,20,3,3.0,-84.357118,33.74356,3
4745,19,7,3.0,-84.391353,33.78425,3
10343,21,1,3.0,-84.387376,33.76667,3
5823,20,5,3.0,-84.391356,33.78868,3
10314,8,1,3.0,-84.324236,33.72626,4
8197,21,6,7.0,-84.47059,33.767678,4
10179,19,4,7.0,-84.408518,33.78156,3
620,0,6,6.0,-84.392289,33.79968,3
392,17,3,3.0,-84.392251,33.79204,3
12339,20,4,3.0,-84.454817,33.75088,2
1065,19,6,6.0,-84.389249,33.78671,3
533,12,6,3.0,-84.394603,33.72212,3
9876,14,4,3.0,-84.390375,33.77227,3
11916,19,7,7.0,-84.371276,33.79475,4
13056,21,2,7.0,-84.336314,33.79337,3
4019,20,5,4.0,-84.387754,33.74451,3
10795,22,3,3.0,-84.378618,33.7558,3
6952,18,7,7.0,-84.410118,33.79074,3
3458,18,1,3.0,-84.387251,33.74699,3
14999,14,5,7.0,-84.372145,33.75469,4
5620,20,6,4.0,-84.382948,33.80552,4
3492,1,1,3.0,-84.378811,33.75929,3
13780,23,3,3.0,-84.379119,33.75328,3
5982,15,5,3.0,-84.399204,33.71505,3
4727,23,7,3.0,-84.390821,33.78063,4
7673,22,2,7.0,-84.368439,33.74817,3
7340,20,7,7.0,-84.469242,33.75883,4
938,23,6,3.0,-84.37867,33.753478,4
10001,21,4,4.0,-84.378586,33.75904,3
3852,12,5,3.0,-84.390748,33.77821,3
3604,15,1,7.0,-84.338218,33.79073,3
9788,13,4,3.0,-84.376173,33.74347,3
1714,22,7,4.0,-84.388078,33.74573,4
2298,11,2,3.0,-84.391883,33.73459,3
7824,12,2,6.0,-84.387778,33.79159,3
4617,1,7,3.0,-84.389536,33.80085,3
4150,2,7,3.0,-84.378788,33.75322,2
14171,20,2,1.0,-84.409713,33.75883,3
3774,21,1,3.0,-84.378405,33.75434,3
5189,11,3,3.0,-84.383568,33.74879,3
7263,21,7,6.0,-84.407547,33.78776,4
9704,23,2,3.0,-84.391616,33.78965,3
3731,16,1,3.0,-84.384999,33.80327,3
5738,23,5,3.0,-84.378695,33.75901,4
6155,23,4,3.0,-84.382675,33.74927,3
3184,16,4,3.0,-84.382667,33.74343,3
8205,12,6,7.0,-84.44261,33.748199,3
2223,22,2,2.0,-84.382596,33.75837,3
15245,17,5,3.0,-84.395909,33.72035,3
10624,18,2,3.0,-84.391967,33.73221,4
13825,16,3,7.0,-84.371855,33.76916,4
12967,19,2,2.0,-84.391966,33.78484,4
10941,14,3,3.0,-84.382046,33.80551,4
15231,0,5,3.0,-84.383359,33.76368,4
10943,16,3,3.0,-84.391111,33.79999,3
554,17,6,3.0,-84.391333,33.78389,3
2194,21,2,3.0,-84.384842,33.76468,3
11450,2,1,3.0,-84.458634,33.75172,3
1256,15,6,3.0,-84.368691,33.7435,3
2188,21,2,3.0,-84.390569,33.76984,3
14148,12,2,3.0,-84.392495,33.799,3
6694,22,7,7.0,-84.376032,33.78178,3
11895,21,7,7.0,-84.398332,33.75374,3
8374,16,6,3.0,-84.378627,33.75551,3
3500,17,1,3.0,-84.391124,33.77792,3
10864,15,3,2.0,-84.417704,33.80051,4
2394,20,6,3.0,-84.452971,33.75079,3
1178,12,6,4.0,-84.388637,33.74521,4
7173,23,7,3.0,-84.392078,33.79529,3
14207,11,2,7.0,-84.447226,33.75052,3
9183,21,6,7.0,-84.340275,33.78649,4
1023,17,6,7.0,-84.389662,33.78151,3
14124,20,2,3.0,-84.382939,33.76289,4
9871,19,4,3.0,-84.389253,33.76737,3
935,14,6,3.0,-84.39358,33.725135,3
4895,23,3,3.0,-84.396673,33.79927,4
9922,12,4,3.0,-84.389789,33.80051,3
341,11,3,3.0,-84.393878,33.72349,3
9787,11,4,3.0,-84.331468,33.74305,4
13425,20,3,7.0,-84.41193,33.789192,2
3366,23,1,4.0,-84.350278,33.74571,3
9580,20,2,3.0,-84.381777,33.76189,3
434,21,3,2.0,-84.39036,33.764175,4
5731,17,5,3.0,-84.378868,33.75942,3
2744,20,6,3.0,-84.38038,33.761243,3
3773,22,1,3.0,-84.386585,33.74744,4
9894,22,4,3.0,-84.382971,33.80515,3
6883,19,7,7.0,-84.386695,33.75421,2
1586,18,7,3.0,-84.378234,33.756,3
14112,10,2,3.0,-84.391215,33.74408,3
7028,18,7,3.0,-84.378426,33.75419,3
2845,20,6,7.0,-84.372112,33.7574,3
11332,18,1,7.0,-84.417971,33.72598,3
10895,20,3,3.0,-84.391517,33.79251,4
7445,18,2,3.0,-84.392699,33.72927,3
2886,15,6,6.0,-84.349252,33.73831,4
13801,21,3,3.0,-84.391584,33.78944,3
7527,22,2,3.0,-84.392731,33.79319,3
10043,21,4,3.0,-84.404613,33.7421,3
12257,22,4,7.0,-84.371656,33.79437,3
4060,18,5,3.0,-84.385118,33.80354,4
10821,20,3,6.0,-84.393021,33.79704,4
14769,20,5,4.0,-84.390139,33.7439,4
14405,22,1,7.0,-84.372086,33.75941,4
13193,21,2,7.0,-84.391879,33.74567,4
8769,23,5,3.0,-84.383553,33.80437,4
866,18,6,3.0,-84.372441,33.74351,3
10398,23,1,3.0,-84.379022,33.75805,3
10512,18,1,3.0,-84.397178,33.71857,3
13604,21,3,7.0,-84.406904,33.79164,3
12055,18,4,3.0,-84.395906,33.72035,3
7679,18,2,6.0,-84.349216,33.74938,3
8419,21,6,2.0,-84.35079,33.800162,3
7183,21,7,1.0,-84.363413,33.75217,4
1327,22,6,3.0,-84.402861,33.80152,3
10462,15,1,1.0,-84.424576,33.71821,4
4645,18,7,4.0,-84.387739,33.74464,4
4183,15,7,3.0,-84.384232,33.7485,3
8423,19,6,7.0,-84.371969,33.76337,4
9080,18,6,3.0,-84.392659,33.79243,3
13345,17,3,3.0,-84.392964,33.79373,3
2437,15,6,3.0,-84.395583,33.72079,2
7430,0,2,3.0,-84.471081,33.75802,4
14515,19,1,3.0,-84.391017,33.77705,3
8766,12,5,3.0,-84.39035,33.773371,3
8493,17,6,4.0,-84.38443,33.743611,4
7754,16,2,4.0,-84.391709,33.79396,3
6810,16,7,6.0,-84.407445,33.78615,3
1516,17,6,4.0,-84.394188,33.74499,4
6326,11,3,4.0,-84.390524,33.7439,3
8616,17,5,3.0,-84.392919,33.79307,3
13101,22,2,3.0,-84.379298,33.75234,2
12549,22,4,1.0,-84.399169,33.7794,3
15725,21,1,3.0,-84.383133,33.76305,3
12034,17,4,3.0,-84.393633,33.72462,3
8460,18,6,6.0,-84.407725,33.78887,3
3555,3,1,4.0,-84.32285,33.730324,4
10412,9,1,3.0,-84.389174,33.80105,3
14159,4,2,7.0,-84.391098,33.7917,4
1882,20,2,3.0,-84.392858,33.72883,3
559,17,6,3.0,-84.378989,33.75806,2
13976,16,3,3.0,-84.379188,33.7525,3
10082,12,4,7.0,-84.388504,33.7524,4
15393,21,5,6.0,-84.349212,33.745,3
1423,20,6,7.0,-84.38423,33.757935,4
8158,12,6,2.0,-84.358193,33.73993,4
2387,21,6,3.0,-84.420488,33.74194,4
6973,20,7,1.0,-84.351995,33.80338,2
1213,12,6,7.0,-84.370904,33.77463,2
13203,17,2,3.0,-84.391473,33.78975,3
12909,19,2,3.0,-84.391059,33.79148,4
4434,19,7,6.0,-84.36655,33.761573,3
2549,21,6,2.0,-84.386438,33.79675,3
10261,21,4,4.0,-84.389902,33.77132,3
8625,16,5,3.0,-84.390523,33.76909,4
6730,23,7,7.0,-84.372131,33.75588,4
7614,19,2,6.0,-84.327541,33.77233,3
7805,20,2,6.0,-84.348994,33.77237,4
2799,23,6,3.0,-84.389737,33.80042,4
7246,22,7,6.0,-84.349275,33.76073,2
1155,14,6,4.0,-84.38628,33.7439,3
9395,18,6,3.0,-84.397599,33.71792,4
10420,14,1,1.0,-84.414159,33.73267,4
2889,21,6,6.0,-84.407852,33.78967,3
3937,17,5,2.0,-84.416834,33.80047,3
4743,18,7,3.0,-84.391209,33.78133,3
16182,11,6,3.0,-84.394719,33.72195,3
9658,14,2,3.0,-84.390168,33.76821,3
8720,18,5,7.0,-84.411963,33.78961,3
1670,18,7,3.0,-84.393856,33.72435,4
11713,15,7,4.0,-84.387278,33.74668,3
9265,20,6,4.0,-84.350234,33.74479,2
2044,22,2,7.0,-84.367835,33.79962,3
7014,15,7,3.0,-84.383852,33.74866,3
1115,18,6,6.0,-84.40676,33.771652,3
13672,0,3,6.0,-84.354621,33.77382,4
10244,22,4,6.0,-84.40802,33.790827,3
1087,20,6,7.0,-84.394266,33.7589,3
9895,20,4,3.0,-84.387203,33.80216,3
6258,19,3,3.0,-84.379523,33.75227,3
12775,18,2,3.0,-84.407822,33.74113,3
3468,17,1,3.0,-84.393635,33.72461,3
15567,10,2,4.0,-84.386862,33.74408,4
3691,17,1,4.0,-84.379339,33.75923,4
8580,17,5,3.0,-84.393743,33.72398,3
8518,2,6,4.0,-84.38487,33.748642,3
1825,22,2,3.0,-84.404794,33.74201,3
3296,19,1,3.0,-84.38165,33.750131,3
6584,18,7,3.0,-84.39238,33.795632,3
12125,14,4,3.0,-84.388471,33.80108,4
14228,17,2,3.0,-84.381101,33.76128,3
12018,19,4,3.0,-84.433635,33.747,3
8728,19,5,6.0,-84.336671,33.77393,3
4233,2,7,3.0,-84.390285,33.7684,4
11195,17,1,3.0,-84.391952,33.73282,3
1901,20,2,3.0,-84.393769,33.72388,3
2225,21,2,2.0,-84.351334,33.80047,3
10695,20,3,3.0,-84.439311,33.74749,3
4172,1,7,3.0,-84.389161,33.74551,3
13154,20,2,7.0,-84.386649,33.79238,3
989,20,6,3.0,-84.40247,33.801451,4
13611,21,3,3.0,-84.384198,33.76433,4
7779,22,2,7.0,-84.370835,33.77516,4
8142,17,6,6.0,-84.349252,33.74184,3
15011,13,5,2.0,-84.389891,33.74192,3
13471,19,3,4.0,-84.388037,33.74582,3
14816,13,5,3.0,-84.466212,33.75478,4
10105,18,4,7.0,-84.350546,33.76986,4
4927,12,3,3.0,-84.393362,33.79659,3
6031,18,5,7.0,-84.382212,33.78475,4
42,22,3,3.0,-84.374897,33.74348,3
13001,20,2,4.0,-84.378915,33.7572,3
1759,18,7,3.0,-84.391626,33.78945,3
762,21,6,6.0,-84.389153,33.79526,4
13623,22,3,7.0,-84.38921,33.7835,3
2436,15,6,3.0,-84.389071,33.76784,2
1042,23,6,3.0,-84.390825,33.77688,3
79,21,3,3.0,-84.394025,33.72312,3
11526,13,7,3.0,-84.382636,33.76301,3
8465,11,6,6.0,-84.388806,33.79717,3
2410,12,6,3.0,-84.408717,33.80343,4
11210,21,1,3.0,-84.398267,33.71638,4
686,19,6,6.0,-84.346923,33.7743,4
4946,21,3,4.0,-84.391627,33.79404,3
3608,1,1,7.0,-84.394697,33.75118,4
1239,21,6,7.0,-84.469893,33.76256,3
9673,22,2,7.0,-84.438044,33.71322,2
7524,18,2,3.0,-84.393471,33.795,3
4672,18,7,3.0,-84.378668,33.75482,3
5129,23,3,7.0,-84.382625,33.77973,3
8621,17,5,3.0,-84.391202,33.7801,3
1478,21,6,2.0,-84.33902,33.791943,3
9951,19,4,2.0,-84.351814,33.71545,2
6639,14,7,3.0,-84.390733,33.79055,3
5248,12,3,3.0,-84.3917,33.790466,3
9393,15,6,3.0,-84.378806,33.75937,3
4336,20,7,6.0,-84.395656,33.77134,3
7491,20,2,3.0,-84.399747,33.80094,4
9463,23,6,7.0,-84.369597,33.77892,3
6623,13,7,3.0,-84.390817,33.78492,4
14403,17,1,3.0,-84.393252,33.72829,3
15383,20,5,7.0,-84.384173,33.76098,4
9220,20,6,3.0,-84.392951,33.79576,4
10320,0,1,3.0,-84.399249,33.7448,4
3719,2,1,3.0,-84.405414,33.80231,4
2856,20,6,1.0,-84.327384,33.78952,3
7958,23,6,3.0,-84.380267,33.75135,4
1288,20,6,3.0,-84.391885,33.73493,2
11602,17,7,3.0,-84.39052,33.770647,2
5102,22,3,3.0,-84.393257,33.72767,3
15735,22,1,3.0,-84.390038,33.76803,3
609,16,6,7.0,-84.391935,33.74693,3
11027,21,3,3.0,-84.395571,33.7975,3
6159,3,1,3.0,-84.424709,33.74371,4
6836,18,7,7.0,-84.427817,33.78552,4
4167,19,7,3.0,-84.391836,33.73714,4
8078,22,6,3.0,-84.387114,33.7472,3
8935,0,5,4.0,-84.387281,33.74429,4
10239,21,4,6.0,-84.404149,33.76514,3
727,0,6,3.0,-84.384245,33.8042,4
10928,0,3,3.0,-84.392699,33.72927,2
13067,19,2,7.0,-84.411919,33.78904,3
11715,20,7,4.0,-84.384828,33.74865,3
14594,19,5,3.0,-84.383784,33.80419,3
15639,21,1,3.0,-84.379437,33.75212,3
12697,19,4,4.0,-84.391747,33.78656,3
13893,16,3,4.0,-84.396506,33.74489,3
13271,21,3,3.0,-84.421357,33.74226,3
10437,18,1,7.0,-84.378182,33.78178,3
16178,15,6,3.0,-84.394813,33.72182,4
8169,20,6,4.0,-84.393753,33.72284,4
9971,12,4,2.0,-84.366815,33.74252,4
13947,18,3,2.0,-84.339026,33.79197,4
15294,18,5,3.0,-84.382471,33.76248,3
7983,0,6,3.0,-84.382165,33.76222,3
568,20,6,3.0,-84.381224,33.7614,3
14608,14,5,3.0,-84.379482,33.75232,3
13197,13,2,6.0,-84.343207,33.77489,4
9348,3,6,3.0,-84.435757,33.74683,2
7261,19,7,6.0,-84.407456,33.78456,3
9730,19,2,6.0,-84.347147,33.77423,3
14145,22,2,3.0,-84.382519,33.8055,4
5794,6,5,3.0,-84.390394,33.77207,4
12962,20,2,2.0,-84.396854,33.79639,3
13945,17,3,7.0,-84.387442,33.76931,4
10959,19,3,6.0,-84.406235,33.77134,2
9353,1,6,3.0,-84.443314,33.74993,4
13993,22,3,3.0,-84.388583,33.74597,4
4278,20,7,4.0,-84.410779,33.80367,4
15744,21,1,3.0,-84.3829,33.762858,3
5546,0,6,3.0,-84.381686,33.76181,2
6741,15,7,7.0,-84.36919,33.780151,4
2479,17,6,3.0,-84.380608,33.76077,3
13782,21,3,3.0,-84.397939,33.80034,4
11075,16,3,7.0,-84.372133,33.75571,4
15105,16,5,6.0,-84.348141,33.77397,3
4767,23,7,2.0,-84.391864,33.78382,3
12509,14,4,3.0,-84.392978,33.79459,4
8125,19,6,7.0,-84.408714,33.77772,4
14747,12,5,6.0,-84.388293,33.79697,4
11604,1,7,3.0,-84.381888,33.75035,3
14245,12,2,6.0,-84.387775,33.7916,3
15794,19,1,3.0,-84.389554,33.76777,3
2685,18,6,1.0,-84.325775,33.75396,3
7982,16,6,3.0,-84.395563,33.79749,4
4630,18,7,6.0,-84.349183,33.75874,3
9453,22,6,7.0,-84.372004,33.76213,4
1638,15,7,3.0,-84.384621,33.76446,3
9888,19,4,3.0,-84.384525,33.80363,3
9596,21,2,3.0,-84.393679,33.79588,4
1738,22,7,3.0,-84.379211,33.75246,3
614,12,6,6.0,-84.349489,33.71683,2
11573,15,7,3.0,-84.392376,33.73021,3
11690,19,7,2.0,-84.419686,33.79998,3
15507,20,2,3.0,-84.399463,33.71457,3
2529,19,6,3.0,-84.393317,33.79739,3
5128,20,3,2.0,-84.374318,33.7591,4
13477,21,3,3.0,-84.393657,33.72439,4
8384,16,6,3.0,-84.401189,33.80122,4
15499,19,2,3.0,-84.403917,33.80171,3
9878,21,4,3.0,-84.391435,33.78522,3
919,13,6,3.0,-84.391783,33.73879,3
1488,18,6,6.0,-84.345037,33.7747,3
15583,19,2,4.0,-84.387501,33.74651,3
959,1,6,3.0,-84.381082,33.75102,3
15873,19,1,3.0,-84.379645,33.75948,3
4389,17,7,2.0,-84.358165,33.74054,3
14743,21,5,7.0,-84.385211,33.79083,3
15745,19,1,3.0,-84.3912,33.782089,3
11082,19,3,7.0,-84.351801,33.77107,2
11222,22,1,3.0,-84.391522,33.78748,3
13817,22,3,3.0,-84.391291,33.78586,3
15969,21,2,3.0,-84.387024,33.80217,4
9294,17,6,3.0,-84.392074,33.73137,3
11043,10,3,3.0,-84.393692,33.79629,4
4559,20,7,3.0,-84.378305,33.75491,2
6323,19,3,4.0,-84.390656,33.77903,4
9819,19,4,3.0,-84.37832,33.756571,3
11067,10,3,3.0,-84.392043,33.73483,2
4677,0,7,3.0,-84.382309,33.75002,3
11944,21,7,3.0,-84.391637,33.78978,3
13301,18,3,3.0,-84.379444,33.76031,3
5255,14,3,1.0,-84.393584,33.78049,3
12130,12,4,3.0,-84.391552,33.78897,3
3635,1,1,2.0,-84.387538,33.76158,4
153,20,3,7.0,-84.371641,33.75279,3
2779,21,6,3.0,-84.402701,33.80149,4
4374,18,7,6.0,-84.402898,33.75167,3
5092,19,3,3.0,-84.427632,33.74522,3
9886,20,4,3.0,-84.390425,33.80005,3
9923,16,4,3.0,-84.383406,33.80469,3
7636,22,2,3.0,-84.463402,33.75339,2
8321,16,6,3.0,-84.40057,33.712535,3
4586,0,7,3.0,-84.391519,33.78844,3
4354,19,7,2.0,-84.391833,33.78359,4
14691,20,5,3.0,-84.382901,33.74919,3
12354,12,4,3.0,-84.392752,33.79266,3
9324,20,6,2.0,-84.318546,33.76308,3
2069,13,2,4.0,-84.394281,33.79504,2
9128,21,6,3.0,-84.392317,33.79223,3
11647,15,7,7.0,-84.371905,33.75341,3
14568,20,5,3.0,-84.393318,33.72735,3
7765,19,2,3.0,-84.391291,33.78762,3
5172,20,3,3.0,-84.391838,33.73703,3
12311,12,4,7.0,-84.381276,33.74742,3
9396,16,6,3.0,-84.390038,33.74478,3
12974,20,2,6.0,-84.406784,33.77166,2
14424,4,1,7.0,-84.394558,33.75941,4
14585,18,5,3.0,-84.390975,33.77671,3
8704,21,5,2.0,-84.402946,33.79615,4
11192,22,1,3.0,-84.391931,33.73305,2
14625,22,5,6.0,-84.38795,33.796689,4
12442,13,4,3.0,-84.388833,33.7676,3
7926,18,6,3.0,-84.349678,33.7455,3
2433,14,6,3.0,-84.389279,33.74541,4
12831,10,2,3.0,-84.379079,33.75268,3
14113,5,2,3.0,-84.390287,33.7684,4
15593,19,2,3.0,-84.405256,33.80197,3
11274,19,1,3.0,-84.391484,33.78634,3
6622,15,7,3.0,-84.386884,33.76638,3
15504,19,2,3.0,-84.404619,33.80183,3
10345,4,1,3.0,-84.397923,33.71716,3
8859,2,5,3.0,-84.393265,33.79533,3
3173,11,4,4.0,-84.389992,33.77219,3
4718,13,7,3.0,-84.42505,33.744098,2
12053,16,4,3.0,-84.397864,33.71734,3
13775,14,3,3.0,-84.39035,33.773461,3
1440,11,6,6.0,-84.404843,33.7664,4
4646,18,7,4.0,-84.386113,33.74755,4
5973,19,5,3.0,-84.391802,33.73857,4
7656,19,2,3.0,-84.391048,33.7773,2
16157,17,6,3.0,-84.387972,33.74645,3
12957,20,2,6.0,-84.389137,33.79353,3
13555,16,3,3.0,-84.380389,33.75124,3
15870,16,1,3.0,-84.378259,33.75634,2
9054,17,6,3.0,-84.391554,33.7411,3
12854,19,2,3.0,-84.391138,33.77804,3
14641,20,5,3.0,-84.441897,33.74905,4
12446,15,4,3.0,-84.393615,33.7248,3
3523,2,1,3.0,-84.396863,33.79946,4
6606,15,7,3.0,-84.390328,33.77543,3
11346,7,1,7.0,-84.37718,33.754374,4
12518,20,4,4.0,-84.408366,33.80259,4
14746,22,5,7.0,-84.390501,33.78545,2
10970,18,3,6.0,-84.36791,33.760999,3
5827,20,5,7.0,-84.368602,33.71403,2
10501,0,1,3.0,-84.398349,33.74508,4
11524,20,7,3.0,-84.393322,33.72732,3
4974,21,3,7.0,-84.369252,33.74876,3
656,21,6,3.0,-84.378237,33.74344,3
10851,21,3,7.0,-84.388837,33.77288,4
5705,19,5,3.0,-84.425178,33.74395,3
5882,15,5,6.0,-84.369685,33.76048,3
420,12,3,6.0,-84.389217,33.7916,3
5557,12,6,6.0,-84.349004,33.76978,3
2895,20,6,6.0,-84.393656,33.80488,3
1544,19,7,3.0,-84.380572,33.76145,3
1917,0,2,3.0,-84.391205,33.78033,3
13833,21,3,1.0,-84.32978,33.775041,4
8572,17,5,3.0,-84.393436,33.72639,3
5719,11,5,3.0,-84.377384,33.74345,3
702,21,6,3.0,-84.384399,33.74843,3
15076,11,5,7.0,-84.389004,33.76352,4
8846,3,5,3.0,-84.391392,33.78465,4
2649,11,6,6.0,-84.387702,33.79427,3
12438,14,4,3.0,-84.380926,33.75077,3
12593,23,4,7.0,-84.336731,33.80545,4
11165,19,1,3.0,-84.396387,33.71971,4
9567,21,2,3.0,-84.390459,33.77133,4
13508,12,3,7.0,-84.343788,33.78152,3
6275,21,3,7.0,-84.335611,33.7971,3
6246,12,3,3.0,-84.393209,33.79512,4
11334,16,1,7.0,-84.335975,33.79434,3
15016,20,5,7.0,-84.35195,33.771075,3
6659,19,7,3.0,-84.390646,33.77515,3
2443,15,6,3.0,-84.378274,33.75572,3
9024,15,6,3.0,-84.382844,33.74916,3
3582,17,1,7.0,-84.372097,33.75858,3
14277,23,1,3.0,-84.403205,33.743,3
12628,22,4,6.0,-84.349,33.771793,2
10010,20,4,6.0,-84.344696,33.77472,3
16065,23,2,6.0,-84.345275,33.77468,4
13658,23,3,6.0,-84.387703,33.79468,3
14519,0,1,3.0,-84.38955,33.768222,3
15199,12,5,6.0,-84.407873,33.71641,3
7810,19,2,6.0,-84.40785,33.795782,3
5761,18,5,3.0,-84.39897,33.714738,3
12002,22,4,3.0,-84.394995,33.7453,4
13750,21,3,3.0,-84.394299,33.7226,3
11866,19,7,3.0,-84.378522,33.75764,3
14319,21,1,3.0,-84.393515,33.72573,4
14483,22,1,4.0,-84.389317,33.74429,3
